record_id,forwarder,rate_rmb_per_kg,actual_pure_first_leg_rmb,billed_weight_equivalent_kg,conditional_shipment_weight_upper_g,conditional_transport_volume_upper_cm3,baseline_first_leg_rmb,baseline_billed_weight_equivalent_kg,baseline_vs_actual_pct,record_evidence_level,weight_vs_volume_dominance,transport_volume_estimate,package_dimension_range,numeric_rule_use
CAL-0046,义乌,100,13.8,0.138,138.0,1104.0,12.5,0.125,-9.42,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0047,义乌,100,7,0.07,70.0,560.0,18.9,0.189,170.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0048,义乌,100,5,0.05,50.0,400.0,4.5,0.045,-10.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0049,义乌,100,25,0.25,250.0,2000.0,22,0.22,-12.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0050,义乌,100,23.5,0.235,235.0,1880.0,52.81,0.5281,124.72,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0051,深圳,80,80,1.0,1000.0,8000.0,68.4,0.855,-14.5,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0052,义乌,100,14,0.14,140.0,1120.0,12,0.12,-14.29,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0053,义乌,100,5,0.05,50.0,400.0,7,0.07,40.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0054,义乌,100,9,0.09,90.0,720.0,4.5,0.045,-50.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0055,义乌,100,5,0.05,50.0,400.0,3.75,0.0375,-25.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0056,义乌,100,6,0.06,60.0,480.0,6.6,0.066,10.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0057,义乌,100,16,0.16,160.0,1280.0,16.8,0.168,5.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0058,义乌,100,19,0.19,190.0,1520.0,22,0.22,15.79,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0059,义乌,100,8,0.08,80.0,640.0,8,0.08,0.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0060,义乌,100,4,0.04,40.0,320.0,3.5,0.035,-12.5,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0061,义乌,100,20,0.2,200.0,1600.0,21,0.21,5.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0062,义乌,100,10,0.1,100.0,800.0,7.5,0.075,-25.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0063,义乌,100,6,0.06,60.0,480.0,1,0.01,-83.33,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
CAL-0064,义乌,100,7,0.07,70.0,560.0,3.5,0.035,-50.0,B,UNRESOLVED,UNRESOLVED,UNRESOLVED,BOUND_EVIDENCE_ONLY
